"ID","ShirtName","DOB","POS","Club","Height","Caps","Goals"
712,"HASSEN","05.03.1995","GK","Chateauroux (FRA)",186,2,0
713,"SLITI","27.07.1992","FW","Dijon (FRA)",173,18,3
714,"F. MUSLERA","16.06.1986","GK","Galatasaray (TUR)",190,97,0
715,"J.M. GIMENEZ","20.01.1995","DF","Atlético Madrid (ESP)",185,42,5
716,"D. GODIN","16.02.1986","DF","Atlético Madrid (ESP)",185,116,8
717,"G. VARELA","24.03.1993","DF","Peñarol (URU)",173,3,0
718,"C. SANCHEZ","02.12.1984","MF","Monterrey (MEX)",171,35,1
719,"R. BENTANCUR","25.06.1997","MF","Juventus (ITA)",187,7,0
720,"C. RODRIGUEZ","30.09.1985","MF","Peñarol (URU)",178,105,11
721,"N. NANDEZ","28.12.1995","MF","Boca Juniors (ARG)",171,12,0
722,"L. SUAREZ","24.01.1987","FW","FC Barcelona (ESP)",182,98,51
723,"G. DE ARRASCAETA","01.06.1994","FW","Cruzeiro (BRA)",172,14,2
724,"C. STUANI","12.10.1986","FW","Girona Futbol Club (ESP)",186,41,5
725,"M. CAMPAÑA","29.05.1989","GK","Independiente (ARG)",184,1,0
726,"G. SILVA","05.03.1994","DF","Independiente (ARG)",185,17,0
727,"L. TORREIRA","11.02.1996","MF","Sampdoria (ITA)",168,3,0
728,"M. VECINO","24.08.1991","MF","Internazionale (ITA)",189,22,1
729,"M. PEREIRA","08.06.1984","DF","FC Porto (POR)",173,125,3
730,"D. LAXALT","07.02.1993","MF","Genoa (ITA)",178,6,0
731,"M. GOMEZ","14.08.1996","FW","Celta (ESP)",186,5,0
732,"S. COATES","07.10.1990","DF","Sporting CP (POR)",196,30,1
733,"J. URRETAVISCAYA","19.03.1990","FW","Monterrey (MEX)",172,4,0
734,"E. CAVANI","14.02.1987","FW","Paris Saint-Germain (FRA)",188,101,42
735,"M. CACERES","07.04.1987","DF","Lazio (ITA)",178,76,4
736,"M. SILVA","25.03.1983","GK","Clube de Regatas Vasco da Gama(BRA)",187,11,0
